id;city;country;country_id;type_of_violence;UCDP_event_id;weapon/method;side_a;side_a_identity;side_a_gender;side_a_age;side_b;side_b_identity;side_b_gender;side_b_age;additional_actors;cr_clarity;sources;sources_original;date_start;date_end;date_precision;time;where;neighbourhood/area;admin_area;latitude;longitude;geoprecision;deaths_a;deaths_b;deaths_other;deaths_unknown;deaths_best;deaths_high;deaths_low;deaths_gender;injuries_total;injuries_a;injuries_b;injuries_others;injuries_na
IMP23012701_00;Imphal;India;750;attack;na;explosives;militants;PREPAK;unknown;unknown;civilians;unknown;unknown;unknown;no;1: high;;;2023-01-26;2023-01-26;1;late evening;Wangkhei bazaar, Imphal;;;24,789094;93,954786;3: neighbourhood ;0;0;0;0;0;0;0;;1;0;0;1;0
IMP23050301_00;Imphal;India;750;riot/violent protest;474756;Blunt object;Mob;Meitei (suspected);unknown;unknown;civilians;student;2 males;unknown;no;2: medium;"The Telegraph, ""Students recount how they escaped stick-wielding rioters in the Manipur University campus,"" 11 May 2023";victim;2023-05-03;2023-05-03;1;10:00 p.m.;Near student hostel, Manipur niversity campus;;;24,756577;93,928907;3: neighbourhood ;0;0;0;0;0;0;0;;2;0;2;0;0
IMP23050401_00;Imphal;India;750;attack;474756;unknown;protesters;Meitei (suspected);unknown;unknown;politician;Kuki;Male;61;no;2: medium;"India Today, ""Manipur violence: BJP MLA attacked by mob in Imphal, critical,"" 4 May 2023 // Hindustan Times, ""Manipur violence: Train services stopped; BJP MLA attacked in Imphal. 10 points."" 5 May 2023 ";;2023-05-04;2023-05-04;1;unknown;On RIMS road, somewhere between the state secretariate and victim's official residence;;;24,813291;93,927131;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;;1;0;1;0;0
IMP23050402_00;Imphal;India;750;riot/violent protest;474756;Blunt object;Mob;Meitei (suspected);unknown;unknown;civilians;Kuki;Male, female;unknown;no;2: medium;"News Laundry, ""‘Can still feel the blows...Imphal murdered my family’: Manipur violence survivor recalls escape,"" 1 June 2023 [full video interview available] // Press Trust of India, ""Saw my brother lying in a pool of blood, mother shielding him from mob: Manipur violence survivor,"" 3 June 2023";Victim;2023-05-04;2023-05-04;1;10:00 a.m.;Near Ministers quarter, not far from MR camp;;;24,807711;93,914886;3: neighbourhood ;0;2;0;0;2;2;2;;3;0;3;0;0
IMP23050403_00;Imphal;India;750;riot/violent protest;474756;unknown;Mob;Meitei (suspected);unknown;unknown;civilians;Tax assistant;Male;unknown;no;2: medium;"The Free Press Journal, ""Manipur violence: 4 killed in Churachandpur, tax dept staff killed in Imphal amid ongoing tensions.""";Indian Revenue Service Association;2023-05-04;2023-05-04;1;3:00 p.m.;Central Public Works Department quarters, Imphal;;;24,783199;93,914059;3: neighbourhood ;0;0;1;0;1;1;1;1 male;0;0;0;0;0
IMP23050404_00;Imphal;India;750;riot/violent protest;474756;unknown;Mob;Meitei (suspected);unknown;unknown;Kuki;student;Male;21;yes;1: high;"Indian Express, Manipur violence | Youth taken off police van by mob, lynched on May 4: FIR; In the complaint, the SI stated the cops fled the spot while the 21-year-old Hanglalmuan Vaiphei was attacked and killed by the mob in Imphal."" 25 July 2023";;2023-05-04;2023-05-04;1;unknown;Imphal city centre, 7 km from Sajiwa Jail;;;24,814114;93,950278;3: neighbourhood ;0;1;0;0;1;1;1;1 male;0;0;0;0;0
IMP23052201_00;Imphal;India;750;riot/violent protest;na;Blunt object;Meitei;;unknown;unknown;Kuki;civilians;unknown;unknown;yes;1: high;"India Today, ""Houses set ablaze, curfew reimposed as Manipur reports fresh violence,"" 22 May 2023 // Mirror Now, ""Army Called In Imphal Amid Fresh Clashes, Govt Imposed Yet Another Curfew Due To Violence,"" 22 May 2023";PTI;2023-05-22;2023-05-22;1;morning;New Checkon Bazaar area, Imphal;;;24,807866;93,950131;3: neighbourhood ;0;0;0;0;0;0;0;;2;0;0;0;2
IMP23052401_00;Imphal;India;750;attack;na;Blunt object;unknown;unknown;male;unknown;Ethnic minority;Thangkul;famale;unknown;no;2: medium;"India Today, ""Naga group demands action against miscreants who assaulted two Naga women in Imphal,"" 24 May 2023";;2023-05-24;2023-05-24;1;Day;Kwakeithel Bazaar, on the way towards airport;;;24,781541;93,922310;3: neighbourhood ;0;0;0;0;0;0;0;;4;0;4;0;0
IMP23052801_00;Imphal;India;750;riot/violent protest;na;Firearms;protesters;Civilians;unknown;unknown;Politician;;unknown;unknown;no;1: high;"The Times of India, ""Unrest because of Kuki terrorists: Manipur CM,"" 29 May 2023 // Northeast Live, ""Manipur unrest day 25: BJP MLA's house attacked, 4th such incident in a week,"" 28 May 2023";Sources;2023-05-28;2023-05-28;1;unknown;Uripok, Imphal;;;24,809881;93,924034;3: neighbourhood ;0;0;0;0;0;0;0;;2;2;0;0;0
IMP23060401_00;Imphal;India;750;attack;na;Fire;Kuki (suspected);;unknown;unknown;Meitei;civilians;2 female, 1 male;unknown;no;1: high;"The Indian Express, ""Manipur violence: Mother, son among three feared killed in mob attack on ambulance,"" 7 June 2023 // Times Now, ""Manipur Violence: Family Burnt Alive After Miscreants Set Ambulance Ablaze in Imphal | VIDEO,"" 7 June 2023 // The Times of India, ""3 killed as ambulance set on fire in Manipur,"" 8 June 2023";Relatives;2023-06-04;2023-06-04;1;6:30 p.m.;Iroisemba area, Imphal West;;;24,808838;93,893441;3: neighbourhood ;0;3;0;0;3;3;3;2 female, 1 male;0;0;0;0;0
IMP23061501_00;Imphal;India;750;riot/violent protest;na;Blunt object;police officers;Government;unknown;unknown;Protesters;civilians;unknown;unknown;no;2: medium;"Imphal Free Press, ""Two houses, one shop burned amid fresh violence in Imphal,"" 15 June 2023 //Hindustan Times, ""Fresh violence ensnares Manipur as protesters, security forces clash,"" 16 June 2023";;2023-06-15;2023-06-15;1;1:30 p.m.;New Checkon Bazaar area, Imphal;;;24,807866;93,950131;3: neighbourhood ;0;0;0;0;0;0;0;;3;1;1;0;1
IMP23061601_00;Imphal;India;750;riot/violent protest;na;Blunt object;police officers;Government;unknown;unknown;Protesters;civilians;unknown;unknown;no;2: medium;"The Hindu, ""Manipur Violence | Mobs clash with security forces in Imphal; attempts at torching houses of BJP leaders,"" 17 June 2023 // India Today, ""Fresh violence in Manipur as mobs clash with security forces, try to set BJP leaders' house afire,"" 17 June 2023";;2023-06-16;2023-06-16;1;night;Palace compound area;;;24,798034;93,946392;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;;2;0;2;0;0
