id;city;country;country_id;type_of_violence;event_UCDP_id;weapon/method;side_a;side_a_identity;side_a_gender;side_a_age;side_b;side_b_identity;side_b_gender;side_b_age;additional_actors;cr_clarity;sources;sources_original;date_start;date_end;date_precision;time;where;neighbourhood/area;admin_area;latitude;longitude;geoprecision;deaths_a;deaths_b;deaths_other;deaths_unknown;deaths_best;deaths_high;deaths_low;deaths_gender;injuries_total;injuries_a;injuries_b;injuries_others;injuries_unknown
BEN13051801_00;Benghazi;Libya;620;attack;NA;firearms;unknown;unknown;unknown;unknown;Military official;Government;unknown;unknown;no;2: medium;"AFP - 18 May 2013: ""Bomb wounds Libyan soldier at Benghazi checkpoint.""";Security official;2013-05-18;2013-05-18;1;02:00;Dubail crossroads in the centre of Benghazi;;;32,119298;20,08786;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN13052901_00;Benghazi;Libya;620;attack;NA;firearms;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"Reuters - 29 May 2013: ""Three soldiers killed in attack in Libya's Benghazi."" // AFP - 29 May 2013: ""Libyan soldier dies, three wounded in Benghazi attack.""";Security official;2013-05-29;2013-05-29;1;night;a military checkpoint, at one of the city's roundabouts;;;32,107663;20,099349;5: city-level precision only;0;3;0;0;3;3;3;unknown;3;0;3;0;0
BEN13060801_00;Benghazi;Libya;620;riot/violent protest;NA;firearms;Libya Shield 1 Bigrade;militia;unknown;unknown;Civilians;Protesters;unknown;unknown;no;1: high;"Human Rights Watch - 13 June 2013: ""Libya: No Impunity for ‘Black Saturday’ Benghazi Deaths Investigate Killings, Clamp Down on Unlawful Militias.""";HRW;2013-06-08;2013-06-08;1;unknown;"Kweifieh area, benghazi [outside the barracks of the ""Libyan Shield Brigade"".]";;;32,203219;20,166295;3: neighbourhood ;0;31;0;0;31;32;31;unknown;80;0;0;0;80
BEN13061201_00;Benghazi;Libya;620;attack;NA;firearms;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"AFP - 12 June 2013: ""Libyan colonel wounded in Benghazi attack: army.""";Security official;2013-06-12;2013-06-12;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;1;0;0;0;1;1;1;unknown;2;1;1;0;0
BEN13061401_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;Journalist;Media;male;unknown;no;2: medium;"NDTV - 14 June 2013: ""Grenade hurled at Libyan TV station in Benghazi."" // All Africa - 23 June 2013: ""Benghazi Attack Highlights Media Peril.""";Witnesses;2013-06-14;2013-06-14;1;unknown;Outside Libya Al-Hurra TV's office;al-Hadaek neighbourhood;;32,087813;20,104683;3: neighbourhood ;0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN13061501_00;Benghazi;Libya;620;riot/violent protest;NA;firearms;Military;Government;unknown;unknown;Armed protesters;unknown;unknown;unknown;no;1: high;"Reuters - 15 June 2013: ""Six Libyan soldiers killed in Benghazi violence.""";Special forces;2013-06-15;2013-06-15;1;04:00;Outside a special forces' base in Benghazi;;;32,088229;20,117812;4: sub-city admin area;6;0;0;0;6;7;6;unknown;0;0;0;0;0
BEN13062601_00;Benghazi;Libya;620;assassination/murder;NA;Explosives;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"Human Rights Watch - 8 August 2013: ""Libya: Wave of Political Assassinations Lack of Accountability Risks Escalating Violence."" // Reuters  - 26 June 2013: ""Car bomb kills army intelligence officer in Libya's Benghazi.""";Security official;2013-06-26;2013-06-26;1;unknown;150 meters from the victim's house in Benghazi;;;32,107663;20,099349;5: city-level precision only;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13070201_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;Military official;Government;unknown;unknown;yes;2: medium;"Aljazeera - 3 July 2013: ""Car blast hits army checkpoint in Banghazi.""";Security spokesperson;2013-07-02;2013-07-02;1;unknown;checkpoint (street 20);;;32,105621;20,090477;3: neighbourhood ;0;0;0;0;0;0;0;NA;7;0;4;3;0
BEN13070401_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"The Tripoli Post - 5 July 2013: ""Army Officer Survives Assassination Attempt in Benghazi"" // Human Rights Watch - 8 August 2013: ""Libya: Wave of Political Assassinations Lack of Accountability Risks Escalating Violence.""";Security official;2013-07-04;2013-07-04;1;unknown;Near Tibesti Hotel;;;32,11156;20,069265;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;2;0;2;2;2;2 male;0;0;0;0;0
BEN13070801_00;Benghazi;Libya;620;assassination/murder;NA;Explosives;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"Human Rights Watch - 8 August 2013: ""Libya: Wave of Political Assassinations Lack of Accountability Risks Escalating Violence.""";HRW;2013-07-08;2013-07-08;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;1;0;0;1;1;1;1 male;0;0;0;0;0
